mode,sg_bb,dino_bb,clip_bb,sg_m,sg_map,sg_time,dino_m,dino_map,dino_time,clip_map,clip_time,top_k,precision,recall,f3,total_time
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,130,0.01106710375518388,0.7055680361782348,0.09299580668534181,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,130,0.25302663389708163,0.22435006855306225,0.21289926199323225,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,130,0.0687384512523966,0.474493618768232,0.26549531398717047,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,140,0.010586618998308027,0.7128877839809372,0.08968235485760338,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,140,0.24597828245488215,0.22660926768726136,0.21376216710782728,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,140,0.06498084803507645,0.4776618970988481,0.25976149512929264,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,150,0.01014424517123463,0.7181969341561587,0.08656949902794811,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,150,0.2396530342878499,0.2293245583489806,0.21488215442105965,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,150,0.06162377977382588,0.48147103439012817,0.25432681225240217,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,10,0.10537663121583515,0.5578093061101321,0.35686328415208446,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,10,0.27888257575757575,0.08921878576075482,0.09426354197272867,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,10,0.45225082457225313,0.2712927156717741,0.2744296827779053,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,20,0.059843716763124735,0.6414830555950924,0.2955941929838055,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,20,0.3477408008658009,0.1318814672245249,0.13785175970643995,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,20,0.3693285948359,0.3434101877665666,0.3303152734327032,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,30,0.042392029653701487,0.6812989530814445,0.2483884515371007,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,30,0.37194747217068647,0.15316393722142388,0.15895201658613808,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,30,0.29466542143577523,0.3852304368717184,0.3512417343137432,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,40,0.03281476418605997,0.7070648469575369,0.21355936422668476,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,40,0.38119975262832406,0.17076815389219896,0.17618209483077432,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,40,0.2399464719306064,0.41515089891116436,0.3593211473164614,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,50,0.02691299183492054,0.7286315547356896,0.18795787178358855,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,50,0.37296272675736963,0.18546861992836972,0.18984263814136307,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,50,0.19920525835985972,0.4358335430617469,0.3579990580000105,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,60,0.022924294780434697,0.7455236632160811,0.16830743471771517,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,60,0.3734379977886471,0.20097360894188152,0.20421615638984753,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,60,0.16810729734051283,0.45196573066607443,0.3524878389432137,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,70,0.019990975801674433,0.7568180483943948,0.1522890175359886,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,70,0.3688114453274696,0.21326509406210034,0.21484142181027086,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,70,0.14659436698804637,0.46862324938981736,0.3474155867408268,196.133287191391
