mode,sg_bb,depth,sg_m,dino_bb,dino_m,clip_bb,precision,recall,f3,top_k,sg_map
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.0349025974025974,0.00863068884578625,0.00916172276684501,90,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.123638450320297,0.3262263597031311,0.24870452647250682,90,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.013399121904704079,0.6327538481222114,0.10695692698810276,100,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.03449675324675325,0.00863068884578625,0.009159087415183684,100,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.11354807702322561,0.33579705132476806,0.24790869777558763,100,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.012573358804621626,0.6385496034607953,0.10172372185435664,110,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.033685064935064936,0.00863068884578625,0.009157085529051343,110,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.10434537047883026,0.3463592862579446,0.24743195193024556,110,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.011843638884846562,0.6450528607554487,0.0970221392241198,120,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.033685064935064936,0.009017207089447348,0.009557950827545953,120,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.09649307474031257,0.35431233834654857,0.24518402989502353,120,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.0112652465324385,0.6533650234304359,0.09327206115547955,130,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.033279220779220776,0.009017207089447348,0.009554196487528893,130,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.08994789543433356,0.36344491527539174,0.2436831956641129,130,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.010712043490376518,0.6613087053797997,0.0895741930613672,140,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.033685064935064936,0.009179544751785012,0.009720654306856705,140,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.08403665004297219,0.3680861209312078,0.23981763230203282,140,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.010234563044878629,0.6683887533080619,0.08634021824805269,150,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.033685064935064936,0.009179544751785012,0.009720654306856705,150,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.07882827748849808,0.3728396511311666,0.23567910276761664,150,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.09119781742941145,0.5207314339303215,0.3255676123804278,10,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.012175324675324676,0.003563083291167707,0.003759239409834688,10,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.4365288729128015,0.20189528456275496,0.20790812340438725,10,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.0526223065625412,0.6039562568908682,0.2700656815783331,20,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.024350649350649352,0.006253689492325855,0.006620781485622687,20,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.40338141971664704,0.2670184688226848,0.2652754961005982,20,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03758383189981525,0.645705038412377,0.22757007241677282,30,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.028814935064935064,0.007105435149266317,0.007545802760426385,30,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.3416023441105678,0.3005107254546235,0.2887849626079786,30,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.029308336803615564,0.6728889271723735,0.19572831855500394,40,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03125,0.007661055124529151,0.008146871803568123,40,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.2964157672777903,0.32760501610052795,0.3047661371718653,40,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.024034769443992982,0.6905879342889942,0.17134823675663755,50,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03612012987012987,0.008970824900208016,0.009552892474326075,50,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.2558219706954495,0.3469255407847606,0.31163949678521613,50,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.02177023176411917,0.707365689574198,0.16028701058803832,60,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.036525974025974024,0.009133162562545679,0.009719350293653888,60,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.22733755729461658,0.3610820108796856,0.3143071578550866,60,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.0198814009963921,0.7189803578244182,0.15023777279660264,70,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03855519480519481,0.009863682043065161,0.010478102411101656,70,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.2034141410773634,0.3740293058445035,0.3151142575909309,70,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.018358301681322468,0.7322467343845782,0.1417965262568821,80,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03855519480519481,0.009863682043065161,0.010478102411101656,80,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.18257105422011474,0.38515448938899566,0.31455451274914187,80,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.01700744949803076,0.7419316810216352,0.13388105277324788,90,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.037540584415584416,0.009863682043065161,0.010465320104053148,90,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.16560679791499902,0.3938916464418995,0.3124703362980665,90,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.01580265128333856,0.7478267577162249,0.12643149595433337,100,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.037540584415584416,0.009863682043065161,0.010465320104053148,100,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.1518584468950048,0.40137583793583126,0.30898059087244656,100,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.01484272668847357,0.756590817747951,0.12039360949798468,110,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.037134740259740256,0.009863682043065161,0.010459547071964328,110,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.14196144789715814,0.41068267017285826,0.3078613465733617,110,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.013957926930100702,0.761649046273521,0.1145741380133393,120,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.037134740259740256,0.009998963428346545,0.010601421251155334,120,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.131964477543317,0.41769951616745454,0.30467992883676165,120,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.013203362019826385,0.7693271816302278,0.10958534677802154,130,0.002823332290733735
