mode,global_family,global_bb,global_m,global_map,global_time,local_family,local_bb,local_m,local_map,local_time,sem_family,sem_bb,sem_map,sem_time,top_k,precision,recall,f3,total_time
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,50,0.12388258145462805,0.2866805297161246,0.23012715766371683,1437.1984221935272
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,100,0.012873507230230605,0.691565604839096,0.10524712839706343,1437.1984221935272
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,100,0.22841086710410233,0.16152554407543904,0.15732733116376715,1437.1984221935272
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,100,0.07001143785565832,0.3691560990787499,0.22980445878311723,1437.1984221935272
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,10,0.0880669266815852,0.48919581646496285,0.30905684039451436,1815.8149166107178
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,10,0.18959686147186144,0.05135278284867666,0.054631350799963514,1815.8149166107178
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,10,0.3278421974850546,0.17168539559021317,0.17479837471130885,1815.8149166107178
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,50,0.025100118183247887,0.6847624902366117,0.17606334068093493,1815.8149166107178
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,50,0.2756648113790971,0.123283590560615,0.12601536583940767,1815.8149166107178
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,50,0.14158340159314398,0.3112284377223023,0.2548302660191978,1815.8149166107178
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,100,0.013922131531528338,0.752238177931694,0.11406022887996274,1815.8149166107178
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,100,0.25298194387925216,0.16650870416507355,0.16372788396927077,1815.8149166107178
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14,0.28215434518308147,621.0318968296051,100,0.08005981697772463,0.3956702842982923,0.2528790311814445,1815.8149166107178
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,10,0.09683110069271889,0.5440025729511979,0.3414184509377113,2260.242606163025
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,10,0.2012987012987013,0.055150020513609135,0.058713295386737224,2260.242606163025
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,10,0.35255746237889096,0.18511546975486529,0.18846505911862604,2260.242606163025
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,50,0.026875983318933074,0.7363197190033037,0.18885862830396005,2260.242606163025
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,50,0.28211032519068235,0.12674194227383684,0.1295705444510927,2260.242606163025
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,50,0.15333215362970665,0.3285921669605541,0.26966234420912594,2260.242606163025
